TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
       10.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       20.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       30.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       40.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       50.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       60.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       70.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       80.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
       90.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      100.   20.00000005   20.0005   0.000       0.000      0.4060E-01   0.000    -0.4060E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
      110.   19.99951198   20.0001   0.000       0.000      0.4880E-01   0.000    -0.4880E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
