   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
           10.   0.96720E-01  0.10000       15.959      0.81203    
           20.   0.96720E-01  0.10000       15.959      0.81203    
           30.   0.96720E-01  0.10000       15.959      0.81204    
           40.   0.96720E-01  0.10000       15.959      0.81204    
           50.   0.96720E-01  0.10000       15.959      0.81204    
           60.   0.96720E-01  0.10000       15.959      0.81204    
           70.   0.96720E-01  0.10000       15.959      0.81204    
           80.   0.96720E-01  0.10000       15.959      0.81204    
           90.   0.96720E-01  0.10000       15.959      0.81204    
          100.   0.96720E-01  0.10000       15.959      0.81204    
          110.  -0.34327E-01  0.10000       5.6641       2.2880    
          120.  -0.34327E-01  0.10000       5.6641       2.2880    
          130.  -0.34327E-01  0.10000       5.6641       2.2880    
          140.  -0.34327E-01  0.10000       5.6641       2.2880    
          150.  -0.34327E-01  0.10000       5.6641       2.2880    
          160.  -0.34327E-01  0.10000       5.6641       2.2880    
          170.  -0.34327E-01  0.10000       5.6641       2.2880    
          180.  -0.34327E-01  0.10000       5.6641       2.2880    
          190.  -0.34327E-01  0.10000       5.6641       2.2880    
          200.  -0.34327E-01  0.10000       5.6641       2.2880    
          210.   0.18459      0.10000       30.457      0.42549    
          220.   0.18459      0.10000       30.457      0.42549    
          230.   0.18459      0.10000       30.457      0.42549    
          240.   0.18459      0.10000       30.457      0.42549    
          250.   0.18459      0.10000       30.457      0.42549    
          260.   0.18459      0.10000       30.457      0.42549    
          270.   0.18459      0.10000       30.457      0.42549    
          280.   0.18459      0.10000       30.457      0.42549    
          290.   0.18459      0.10000       30.457      0.42549    
          300.   0.18459      0.10000       30.457      0.42549    
          310.  -0.31702E-02  0.10000      0.52309       24.775    
          320.  -0.31702E-02  0.10000      0.52309       24.775    
          330.  -0.31703E-02  0.10000      0.52310       24.774    
          340.  -0.31703E-02  0.10000      0.52311       24.774    
          350.  -0.31703E-02  0.10000      0.52311       24.773    
          360.  -0.31703E-02  0.10000      0.52311       24.773    
          370.  -0.31703E-02  0.10000      0.52312       24.773    
          380.  -0.31704E-02  0.10000      0.52312       24.773    
          390.  -0.31704E-02  0.10000      0.52312       24.773    
          400.  -0.31704E-02  0.10000      0.52312       24.773    
          410.   0.24789      0.10000       40.903      0.31683    
          420.   0.24789      0.10000       40.903      0.31683    
          430.   0.24789      0.10000       40.903      0.31683    
          440.   0.24789      0.10000       40.903      0.31683    
          450.   0.24789      0.10000       40.903      0.31683    
          460.   0.24789      0.10000       40.903      0.31683    
          470.   0.24789      0.10000       40.903      0.31683    
          480.   0.24789      0.10000       40.903      0.31683    
          490.   0.24789      0.10000       40.903      0.31683    
          500.   0.24789      0.10000       40.903      0.31683    
