   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.25574E-02   1.6500       1509.3       28218.    
         7200.  -0.22961E-02   1.6500       1355.1       31430.    
        10800.  -0.23340E-02   1.6500       1377.4       30920.    
        14400.  -0.23574E-02   1.6500       1391.2       30612.    
        18000.  -0.23722E-02   1.6500       1400.0       30421.    
        21600.  -0.23827E-02   1.6500       1406.1       30288.    
        25200.  -0.23908E-02   1.6500       1410.9       30185.    
        28800.  -0.23971E-02   1.6500       1414.7       30105.    
        32400.  -0.24029E-02   1.6500       1418.1       30033.    
        36000.  -0.24081E-02   1.6500       1421.2       29967.    
        39600.  -0.24129E-02   1.6500       1424.0       29908.    
        43200.  -0.26777E-02   1.6500       1580.3       26950.    
        46800.  -0.26436E-02   1.6500       1560.1       27299.    
        50400.  -0.23635E-02   1.6500       1394.8       30533.    
        54000.  -0.26503E-02   1.6500       1564.1       27229.    
        57600.  -0.32769E-02   1.6500       1933.8       22023.    
        61200.  -0.51103E-02   1.6500       3015.8       14122.    
        64800.  -0.42360E-02   1.6500       2499.8       17036.    
        68400.  -0.39610E-02   1.6500       2337.6       18219.    
        72000.  -0.32381E-02   1.6500       1911.0       22287.    
        75600.  -0.27553E-02   1.6500       1626.0       26192.    
        79200.  -0.43948E-02   1.6500       2593.6       16421.    
        82800.  -0.42026E-02   1.6500       2480.2       17172.    
        86400.  -0.42009E-02   1.6500       2479.2       17179.    
        90000.  -0.55199E-02   1.6500       3257.5       13074.    
        93600.  -0.84713E-02   1.6500       4999.3       8518.8    
        97200.  -0.57251E-02   1.6500       3378.7       12605.    
       100800.  -0.27444E-02   1.6500       1619.6       26295.    
       104400.  -0.21605E-02   1.6500       1275.0       33402.    
       108000.  -0.23298E-02   1.6500       1374.9       30975.    
       111600.  -0.19831E-02   1.6500       1170.3       36391.    
       115200.  -0.17611E-02   1.6500       1039.3       40979.    
       118800.  -0.16591E-02   1.6500       979.11       43497.    
       122400.  -0.20560E-02   1.6500       1213.4       35100.    
       126000.  -0.17203E-02   1.6500       1015.2       41950.    
       129600.  -0.28573E-02   1.6500       1686.3       25256.    
       133200.  -0.21288E-02   1.6500       1256.3       33899.    
       136800.  -0.20554E-02   1.6500       1213.0       35111.    
       140400.  -0.17334E-02   1.6500       1022.9       41633.    
       144000.  -0.18390E-02   1.6500       1085.3       39242.    
       147600.  -0.19125E-02   1.6500       1128.7       37733.    
       151200.  -0.19658E-02   1.6500       1160.1       36710.    
       154800.  -0.20089E-02   1.6500       1185.5       35923.    
       158400.  -0.23057E-02   1.6500       1360.7       31299.    
       162000.  -0.33365E-02   1.6500       1969.0       21629.    
       165600.  -0.29292E-02   1.6500       1728.7       24636.    
       169200.  -0.19760E-02   1.6500       1166.1       36522.    
       172800.  -0.19597E-02   1.6500       1156.5       36825.    
