TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
     3600.   12.32165658   12.8739   0.000       0.000      0.4832E-03   0.000    -0.4832E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
     7200.   12.30838454   12.8728   0.000       0.000      0.4938E-03   0.000    -0.4938E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    10800.   12.30594539   12.8716   0.000       0.000      0.4950E-03   0.000    -0.4950E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    14400.   12.30482259   12.8705   0.000       0.000      0.4949E-03   0.000    -0.4949E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    18000.   12.30411400   12.8694   0.000       0.000      0.4946E-03   0.000    -0.4946E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    21600.   12.30358393   12.8684   0.000       0.000      0.4942E-03   0.000    -0.4942E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    25200.   12.30313450   12.8674   0.000       0.000      0.4937E-03   0.000    -0.4937E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    28800.   12.30272229   12.8664   0.000       0.000      0.4932E-03   0.000    -0.4932E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    32400.   12.30235186   12.8655   0.000       0.000      0.4928E-03   0.000    -0.4928E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    36000.   12.30198049   12.8647   0.000       0.000      0.4924E-03   0.000    -0.4924E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    39600.   12.30160827   12.8639   0.000       0.000      0.4920E-03   0.000    -0.4920E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    43200.   12.31455634   12.8643   0.000       0.000      0.4810E-03   0.000    -0.4810E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    46800.   12.31665173   12.8647   0.000       0.000      0.4796E-03   0.000    -0.4796E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    50400.   12.30408805   12.8641   0.000       0.000      0.4900E-03   0.000    -0.4900E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    54000.   12.31530836   12.8645   0.000       0.000      0.4805E-03   0.000    -0.4805E-03  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
