TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
     3600.   16.86898251   16.7895   0.000       0.000     -0.6760E-02   0.000     0.6760E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
     7200.   16.84344913   16.7735   0.000       0.000     -0.5950E-02   0.000     0.5950E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    10800.   16.83339802   16.7617   0.000       0.000     -0.6096E-02   0.000     0.6096E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    14400.   16.82701750   16.7537   0.000       0.000     -0.6232E-02   0.000     0.6232E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    18000.   16.82262630   16.7482   0.000       0.000     -0.6328E-02   0.000     0.6328E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    21600.   16.81954791   16.7443   0.000       0.000     -0.6394E-02   0.000     0.6394E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    25200.   16.81740354   16.7417   0.000       0.000     -0.6438E-02   0.000     0.6438E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    28800.   16.81582995   16.7397   0.000       0.000     -0.6468E-02   0.000     0.6468E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    32400.   16.81470321   16.7384   0.000       0.000     -0.6488E-02   0.000     0.6488E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    36000.   16.81381379   16.7373   0.000       0.000     -0.6503E-02   0.000     0.6503E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    39600.   16.81308674   16.7364   0.000       0.000     -0.6514E-02   0.000     0.6514E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    43200.   16.83810443   16.7519   0.000       0.000     -0.7329E-02   0.000     0.7329E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    46800.   16.84771091   16.7632   0.000       0.000     -0.7187E-02   0.000     0.7187E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    50400.   16.82805445   16.7546   0.000       0.000     -0.6247E-02   0.000     0.6247E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    54000.   16.84761290   16.7640   0.000       0.000     -0.7108E-02   0.000     0.7108E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    57600.   16.91847210   16.8121   0.000       0.000     -0.9039E-02   0.000     0.9039E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    61200.   17.14136475   16.9697   0.000       0.000     -0.1459E-01   0.000     0.1459E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    64800.   17.18528715   17.0505   0.000       0.000     -0.1146E-01   0.000     0.1146E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    68400.   17.21385205   17.0959   0.000       0.000     -0.1002E-01   0.000     0.1002E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    72000.   17.17369826   17.0860   0.000       0.000     -0.7453E-02   0.000     0.7453E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    75600.   17.11399750   17.0450   0.000       0.000     -0.5863E-02   0.000     0.5863E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    79200.   17.24445211   17.1141   0.000       0.000     -0.1108E-01   0.000     0.1108E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    82800.   17.29076204   17.1668   0.000       0.000     -0.1053E-01   0.000     0.1053E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    86400.   17.33325266   17.2117   0.000       0.000     -0.1033E-01   0.000     0.1033E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    90000.   17.50085278   17.3332   0.000       0.000     -0.1425E-01   0.000     0.1425E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    93600.   17.89723340   17.6256   0.000       0.000     -0.2309E-01   0.000     0.2309E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
    97200.   17.86738133   17.7050   0.000       0.000     -0.1380E-01   0.000     0.1380E-01  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   100800.   17.61810259   17.5743   0.000       0.000     -0.3727E-02   0.000     0.3727E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   104400.   17.44397092   17.4206   0.000       0.000     -0.1989E-02   0.000     0.1989E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   108000.   17.34512502   17.3067   0.000       0.000     -0.3265E-02   0.000     0.3265E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   111600.   17.23336176   17.1979   0.000       0.000     -0.3017E-02   0.000     0.3017E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   115200.   17.13486010   17.0990   0.000       0.000     -0.3048E-02   0.000     0.3048E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   118800.   17.05484823   17.0151   0.000       0.000     -0.3378E-02   0.000     0.3378E-02  0.000      0.000      0.000      0.000      0.000       0.000       0.000       0.000       0.000       0.000       0.000    
