   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
         3600.  -0.11263E-02   1.4500       756.38       52046.    
         7200.  -0.66230E-03   1.4500       444.76       88512.    
        10800.  -0.64465E-03   1.4500       432.91       90935.    
        14400.  -0.65081E-03   1.4500       437.05       90074.    
        18000.  -0.65817E-03   1.4500       441.99       89067.    
        21600.  -0.66519E-03   1.4500       446.71       88127.    
        25200.  -0.67170E-03   1.4500       451.08       87273.    
        28800.  -0.67816E-03   1.4500       455.42       86441.    
        32400.  -0.68418E-03   1.4500       459.46       85681.    
        36000.  -0.69025E-03   1.4500       463.53       84928.    
        39600.  -0.69615E-03   1.4500       467.50       84208.    
        43200.  -0.11655E-02   1.4500       782.66       50299.    
        46800.  -0.11887E-02   1.4500       798.25       49316.    
        50400.  -0.72429E-03   1.4500       486.40       80936.    
        54000.  -0.11681E-02   1.4500       784.43       50185.    
        57600.  -0.23478E-02   1.4500       1576.7       24968.    
        61200.  -0.58636E-02   1.4500       3937.7       9997.4    
        64800.  -0.50532E-02   1.4500       3393.5       11601.    
        68400.  -0.47191E-02   1.4500       3169.1       12422.    
        72000.  -0.34919E-02   1.4500       2345.0       16788.    
        75600.  -0.24694E-02   1.4500       1658.3       23739.    
        79200.  -0.51787E-02   1.4500       3477.8       11320.    
        82800.  -0.52678E-02   1.4500       3537.6       11128.    
        86400.  -0.54466E-02   1.4500       3657.7       10763.    
        90000.  -0.79437E-02   1.4500       5334.6       7379.6    
        93600.  -0.13769E-01   1.4500       9246.6       4257.4    
        97200.  -0.10195E-01   1.4500       6846.2       5750.2    
       100800.  -0.47829E-02   1.4500       3212.0       12256.    
       104400.  -0.28334E-02   1.4500       1902.7       20690.    
       108000.  -0.24898E-02   1.4500       1672.0       23545.    
       111600.  -0.15409E-02   1.4500       1034.8       38043.    
       115200.  -0.80313E-03   1.4500       539.34       72991.    
       118800.  -0.31735E-03   1.4500       213.12      0.18472E+06
       122400.  -0.77642E-03   1.4500       521.40       75502.    
       126000.  -0.11960E-03   1.4500       80.318      0.49014E+06
       129600.  -0.19587E-02   1.4500       1315.4       29928.    
       133200.  -0.89145E-03   1.4500       598.65       65759.    
       136800.  -0.61123E-03   1.4500       410.47       95906.    
       140400.   0.85495E-04   1.4500       57.414      0.68567E+06
       144000.   0.99846E-04   1.4500       67.051      0.58712E+06
       147600.   0.77800E-04   1.4500       52.247      0.75348E+06
       151200.   0.55131E-04   1.4500       37.023      0.10633E+07
       154800.   0.33175E-04   1.4500       22.279      0.17670E+07
       158400.  -0.45132E-03   1.4500       303.08      0.12989E+06
       162000.  -0.23413E-02   1.4500       1572.3       25037.    
       165600.  -0.19625E-02   1.4500       1317.9       29871.    
       169200.  -0.31010E-03   1.4500       208.24      0.18904E+06
       172800.  -0.57147E-05   1.4500       3.8377      0.10258E+08
