dtidx;etp
01.01.2016;0.08
02.01.2016;0.03
03.01.2016;0.15
04.01.2016;0.07
05.01.2016;0.08
06.01.2016;0.04
07.01.2016;0.04
08.01.2016;0.03
09.01.2016;0.02
10.01.2016;0.04
11.01.2016;0.05
12.01.2016;0.03
13.01.2016;0.04
14.01.2016;0.05
15.01.2016;0.13
16.01.2016;0.02
17.01.2016;0.04
18.01.2016;0.06
19.01.2016;0.02
20.01.2016;0.01
21.01.2016;0.08
22.01.2016;0.13
23.01.2016;0.04
24.01.2016;0.06
25.01.2016;0.52
26.01.2016;0.31
27.01.2016;0.07
28.01.2016;0.04
29.01.2016;0.02
30.01.2016;0.05
31.01.2016;0.02
01.02.2016;0.03
02.02.2016;0.05
03.02.2016;0.03
04.02.2016;0.03
05.02.2016;0.07
06.02.2016;0.4
07.02.2016;0.06
08.02.2016;0.09
09.02.2016;0.07
10.02.2016;0.12
11.02.2016;0.33
12.02.2016;0.04
13.02.2016;0.07
14.02.2016;0.04
15.02.2016;0.03
16.02.2016;0.03
17.02.2016;0.02
18.02.2016;0.13
19.02.2016;0.08
20.02.2016;0.08
21.02.2016;0.19
22.02.2016;0.36
23.02.2016;0.04
24.02.2016;0.26
25.02.2016;0.03
26.02.2016;0.07
27.02.2016;0.36
28.02.2016;0.07
29.02.2016;0.04
01.03.2016;0.15
02.03.2016;0.09
03.03.2016;0.06
04.03.2016;0.13
05.03.2016;0.14
06.03.2016;0.09
07.03.2016;0.19
08.03.2016;0.05
09.03.2016;0.95
10.03.2016;1.2
11.03.2016;0.23
12.03.2016;0.15
13.03.2016;0.18
14.03.2016;0.45
15.03.2016;0.67
16.03.2016;0.2
17.03.2016;1.84
18.03.2016;2.45
19.03.2016;1.99
20.03.2016;0.57
21.03.2016;0.79
22.03.2016;2.06
23.03.2016;0.32
24.03.2016;1.33
25.03.2016;0.19
26.03.2016;2.29
27.03.2016;0.68
28.03.2016;1
29.03.2016;0.89
30.03.2016;0.74
31.03.2016;0.96
01.04.2016;0.09
02.04.2016;0.16
03.04.2016;0.38
04.04.2016;0.43
05.04.2016;0.1
06.04.2016;1.47
07.04.2016;0.28
08.04.2016;0.34
09.04.2016;0.39
10.04.2016;3.99
11.04.2016;2.01
12.04.2016;0.65
13.04.2016;0.3
14.04.2016;0.99
15.04.2016;0.24
16.04.2016;0.54
17.04.2016;0.12
18.04.2016;0.13
19.04.2016;3.25
20.04.2016;3.94
