TOTIM (T)      HCON          HMAT      QDIR      QWELL        QMAT       QCADS      QTUB1      QTUB2      QTUB3      QTUB4      QTUB5      QTUB6       NSTOR        QFIX        QLH     FHLQ (LQ)        CAUCHY   CAUCHY (LQ)
    86400.   10.00000000   10.0214   0.000       0.000      0.2139E-03   0.000     0.2898     0.2098E-01  0.000      0.000      0.000      0.000       0.000     -0.3110       0.000       0.000       0.000       0.000    
   172800.   10.00000000   10.0158   0.000       0.000      0.1579E-03   0.000     0.2833     0.1960E-01  0.000      0.000      0.000      0.000       0.000     -0.3030       0.000       0.000       0.000       0.000    
   259200.   10.00000000   10.0189   0.000       0.000      0.1886E-03   0.000     0.2843     0.2021E-01  0.000      0.000      0.000      0.000       0.000     -0.3047       0.000       0.000       0.000       0.000    
   345600.   10.00000000   10.0191   0.000       0.000      0.1910E-03   0.000     0.2841     0.2022E-01  0.000      0.000      0.000      0.000       0.000     -0.3045       0.000       0.000       0.000       0.000    
   432000.   10.00000000   10.0234   0.000       0.000      0.2341E-03   0.000     0.2888     0.2124E-01  0.000      0.000      0.000      0.000       0.000     -0.3103       0.000       0.000       0.000       0.000    
   518400.   10.00000000   10.0239   0.000       0.000      0.2388E-03   0.000     0.2910     0.2144E-01  0.000      0.000      0.000      0.000       0.000     -0.3127       0.000       0.000       0.000       0.000    
   604800.   10.00000000   10.0229   0.000       0.000      0.2295E-03   0.000     0.2912     0.2130E-01  0.000      0.000      0.000      0.000       0.000     -0.3127       0.000       0.000       0.000       0.000    
   691200.   10.00000000   10.0279   0.000       0.000      0.2790E-03   0.000     0.2974     0.2255E-01  0.000      0.000      0.000      0.000       0.000     -0.3203       0.000       0.000       0.000       0.000    
   777600.   10.00000000   10.0401   0.000       0.000      0.4009E-03   0.000     0.3139     0.2570E-01  0.000      0.000      0.000      0.000       0.000     -0.3400       0.000       0.000       0.000       0.000    
   864000.   10.00000000   10.0535   0.000       0.000      0.5354E-03   0.000     0.3361     0.2946E-01  0.000      0.000      0.000      0.000       0.000     -0.3661       0.000       0.000       0.000       0.000    
   950400.   10.00000000   10.0489   0.000       0.000      0.4891E-03   0.000     0.3423     0.2911E-01  0.000      0.000      0.000      0.000       0.000     -0.3719       0.000       0.000       0.000       0.000    
  1036800.   10.00000000   10.0633   0.000       0.000      0.6335E-03   0.000     0.3641     0.3317E-01  0.000      0.000      0.000      0.000       0.000     -0.3979       0.000       0.000       0.000       0.000    
  1123200.   10.00000000   10.0901   0.000       0.000      0.9007E-03   0.000     0.4028     0.4054E-01  0.000      0.000      0.000      0.000       0.000     -0.4443       0.000       0.000       0.000       0.000    
  1209600.   10.00000000   10.0559   0.000       0.000      0.5590E-03   0.000     0.3888     0.3369E-01  0.000      0.000      0.000      0.000       0.000     -0.4230       0.000       0.000       0.000       0.000    
  1296000.   10.00000000   10.0436   0.000       0.000      0.4361E-03   0.000     0.3779     0.3105E-01  0.000      0.000      0.000      0.000       0.000     -0.4094       0.000       0.000       0.000       0.000    
  1382400.   10.00000000   10.0375   0.000       0.000      0.3752E-03   0.000     0.3694     0.2953E-01  0.000      0.000      0.000      0.000       0.000     -0.3993       0.000       0.000       0.000       0.000    
  1468800.   10.00000000   10.0336   0.000       0.000      0.3355E-03   0.000     0.3622     0.2842E-01  0.000      0.000      0.000      0.000       0.000     -0.3909       0.000       0.000       0.000       0.000    
  1555200.   10.00000000   10.0300   0.000       0.000      0.2997E-03   0.000     0.3552     0.2736E-01  0.000      0.000      0.000      0.000       0.000     -0.3828       0.000       0.000       0.000       0.000    
  1641600.   10.00000000   10.0271   0.000       0.000      0.2711E-03   0.000     0.3486     0.2645E-01  0.000      0.000      0.000      0.000       0.000     -0.3753       0.000       0.000       0.000       0.000    
  1728000.   10.00000000   10.0257   0.000       0.000      0.2571E-03   0.000     0.3434     0.2588E-01  0.000      0.000      0.000      0.000       0.000     -0.3695       0.000       0.000       0.000       0.000    
  1814400.   10.00000000   10.0247   0.000       0.000      0.2474E-03   0.000     0.3390     0.2542E-01  0.000      0.000      0.000      0.000       0.000     -0.3647       0.000       0.000       0.000       0.000    
  1900800.   10.00000000   10.0228   0.000       0.000      0.2280E-03   0.000     0.3340     0.2475E-01  0.000      0.000      0.000      0.000       0.000     -0.3590       0.000       0.000       0.000       0.000    
  1987200.   10.00000000   10.0217   0.000       0.000      0.2168E-03   0.000     0.3296     0.2426E-01  0.000      0.000      0.000      0.000       0.000     -0.3541       0.000       0.000       0.000       0.000    
  2073600.   10.00000000   10.0214   0.000       0.000      0.2136E-03   0.000     0.3262     0.2398E-01  0.000      0.000      0.000      0.000       0.000     -0.3504       0.000       0.000       0.000       0.000    
  2160000.   10.00000000   10.0199   0.000       0.000      0.1986E-03   0.000     0.3220     0.2343E-01  0.000      0.000      0.000      0.000       0.000     -0.3456       0.000       0.000       0.000       0.000    
  2246400.   10.00000000   10.0187   0.000       0.000      0.1871E-03   0.000     0.3178     0.2296E-01  0.000      0.000      0.000      0.000       0.000     -0.3410       0.000       0.000       0.000       0.000    
  2332800.   10.00000000   10.0177   0.000       0.000      0.1774E-03   0.000     0.3139     0.2252E-01  0.000      0.000      0.000      0.000       0.000     -0.3366       0.000       0.000       0.000       0.000    
  2419200.   10.00000000   10.0169   0.000       0.000      0.1688E-03   0.000     0.3101     0.2211E-01  0.000      0.000      0.000      0.000       0.000     -0.3324       0.000       0.000       0.000       0.000    
  2505600.   10.00000000   10.0186   0.000       0.000      0.1860E-03   0.000     0.3093     0.2233E-01  0.000      0.000      0.000      0.000       0.000     -0.3318       0.000       0.000       0.000       0.000    
  2592000.   10.00000000   10.0179   0.000       0.000      0.1794E-03   0.000     0.3069     0.2204E-01  0.000      0.000      0.000      0.000       0.000     -0.3291       0.000       0.000       0.000       0.000    
  2678400.   10.00000000   10.0265   0.000       0.000      0.2655E-03   0.000     0.3148     0.2401E-01  0.000      0.000      0.000      0.000       0.000     -0.3391       0.000       0.000       0.000       0.000    
  2764800.   10.00000000   10.0478   0.000       0.000      0.4784E-03   0.000     0.3404     0.2932E-01  0.000      0.000      0.000      0.000       0.000     -0.3702       0.000       0.000       0.000       0.000    
  2851200.   10.00000000   10.0919   0.000       0.000      0.9188E-03   0.000     0.3963     0.4074E-01  0.000      0.000      0.000      0.000       0.000     -0.4380       0.000       0.000       0.000       0.000    
  2937600.   10.00000000   10.0470   0.000       0.000      0.4703E-03   0.000     0.3765     0.3157E-01  0.000      0.000      0.000      0.000       0.000     -0.4085       0.000       0.000       0.000       0.000    
  3024000.   10.00000000   10.0451   0.000       0.000      0.4512E-03   0.000     0.3748     0.3140E-01  0.000      0.000      0.000      0.000       0.000     -0.4067       0.000       0.000       0.000       0.000    
  3110400.   10.00000000   10.0422   0.000       0.000      0.4220E-03   0.000     0.3730     0.3084E-01  0.000      0.000      0.000      0.000       0.000     -0.4042       0.000       0.000       0.000       0.000    
  3196800.   10.00000000   10.0365   0.000       0.000      0.3645E-03   0.000     0.3675     0.2953E-01  0.000      0.000      0.000      0.000       0.000     -0.3974       0.000       0.000       0.000       0.000    
  3283200.   10.00000000   10.0316   0.000       0.000      0.3164E-03   0.000     0.3611     0.2831E-01  0.000      0.000      0.000      0.000       0.000     -0.3898       0.000       0.000       0.000       0.000    
  3369600.   10.00000000   10.0351   0.000       0.000      0.3511E-03   0.000     0.3622     0.2901E-01  0.000      0.000      0.000      0.000       0.000     -0.3915       0.000       0.000       0.000       0.000    
  3456000.   10.00000000   10.0394   0.000       0.000      0.3941E-03   0.000     0.3666     0.3005E-01  0.000      0.000      0.000      0.000       0.000     -0.3970       0.000       0.000       0.000       0.000    
  3542400.   10.00000000   10.0437   0.000       0.000      0.4368E-03   0.000     0.3729     0.3123E-01  0.000      0.000      0.000      0.000       0.000     -0.4045       0.000       0.000       0.000       0.000    
  3628800.   10.00000000   10.0415   0.000       0.000      0.4148E-03   0.000     0.3739     0.3094E-01  0.000      0.000      0.000      0.000       0.000     -0.4053       0.000       0.000       0.000       0.000    
  3715200.   10.00000000   10.0349   0.000       0.000      0.3491E-03   0.000     0.3688     0.2949E-01  0.000      0.000      0.000      0.000       0.000     -0.3987       0.000       0.000       0.000       0.000    
