   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.34921E-01   1.0000       34004.       1124.5    
       172800.   0.33762E-01   1.0000       32875.       1163.1    
       259200.   0.33994E-01   1.0000       33101.       1155.2    
       345600.   0.33997E-01   1.0000       33105.       1155.1    
       432000.   0.34850E-01   1.0000       33935.       1126.8    
       518400.   0.35214E-01   1.0000       34290.       1115.2    
       604800.   0.35221E-01   1.0000       34297.       1114.9    
       691200.   0.36304E-01   1.0000       35351.       1081.7    
       777600.   0.39156E-01   1.0000       38128.       1002.9    
       864000.   0.42904E-01   1.0000       41777.       915.30    
       950400.   0.43767E-01   1.0000       42618.       897.25    
      1036800.   0.47373E-01   1.0000       46129.       828.95    
      1123200.   0.53906E-01   1.0000       52490.       728.49    
      1209600.   0.51091E-01   1.0000       49750.       768.62    
      1296000.   0.48824E-01   1.0000       47542.       804.32    
      1382400.   0.47081E-01   1.0000       45845.       834.09    
      1468800.   0.45664E-01   1.0000       44465.       859.98    
      1555200.   0.44340E-01   1.0000       43176.       885.66    
      1641600.   0.43134E-01   1.0000       42002.       910.41    
      1728000.   0.42217E-01   1.0000       41109.       930.18    
      1814400.   0.41471E-01   1.0000       40383.       946.91    
      1900800.   0.40612E-01   1.0000       39546.       966.96    
      1987200.   0.39881E-01   1.0000       38834.       984.67    
      2073600.   0.39347E-01   1.0000       38314.       998.04    
      2160000.   0.38658E-01   1.0000       37643.       1015.8    
      2246400.   0.38002E-01   1.0000       37005.       1033.4    
      2332800.   0.37384E-01   1.0000       36402.       1050.5    
      2419200.   0.36801E-01   1.0000       35834.       1067.1    
      2505600.   0.36753E-01   1.0000       35788.       1068.5    
      2592000.   0.36422E-01   1.0000       35465.       1078.2    
      2678400.   0.37914E-01   1.0000       36918.       1035.8    
      2764800.   0.42478E-01   1.0000       41362.       924.48    
      2851200.   0.52229E-01   1.0000       50858.       751.88    
      2937600.   0.48422E-01   1.0000       47151.       810.99    
      3024000.   0.47837E-01   1.0000       46581.       820.91    
      3110400.   0.47303E-01   1.0000       46061.       830.18    
      3196800.   0.46193E-01   1.0000       44980.       850.13    
      3283200.   0.44953E-01   1.0000       43773.       873.58    
      3369600.   0.45097E-01   1.0000       43913.       870.79    
      3456000.   0.45850E-01   1.0000       44646.       856.49    
      3542400.   0.46921E-01   1.0000       45689.       836.93    
      3628800.   0.47022E-01   1.0000       45787.       835.15    
      3715200.   0.46019E-01   1.0000       44810.       853.35    
      3801600.   0.46095E-01   1.0000       44885.       851.94    
      3888000.   0.46675E-01   1.0000       45450.       841.34    
      3974400.   0.48054E-01   1.0000       46793.       817.20    
      4060800.   0.48912E-01   1.0000       47628.       802.87    
      4147200.   0.47768E-01   1.0000       46514.       822.10    
      4233600.   0.46499E-01   1.0000       45278.       844.53    
      4320000.   0.45625E-01   1.0000       44427.       860.72    
      4406400.   0.44784E-01   1.0000       43608.       876.88    
      4492800.   0.44204E-01   1.0000       43044.       888.37    
      4579200.   0.43419E-01   1.0000       42279.       904.44    
      4665600.   0.42626E-01   1.0000       41507.       921.27    
      4752000.   0.44425E-01   1.0000       43259.       883.96    
      4838400.   0.46465E-01   1.0000       45245.       845.15    
      4924800.   0.48398E-01   1.0000       47127.       811.40    
      5011200.   0.49233E-01   1.0000       47940.       797.64    
      5097600.   0.47932E-01   1.0000       46674.       819.28    
      5184000.   0.46622E-01   1.0000       45398.       842.30    
      5270400.   0.45677E-01   1.0000       44478.       859.74    
      5356800.   0.44723E-01   1.0000       43549.       878.07    
      5443200.   0.45482E-01   1.0000       44288.       863.42    
      5529600.   0.46195E-01   1.0000       44982.       850.09    
      5616000.   0.46825E-01   1.0000       45596.       838.65    
      5702400.   0.47099E-01   1.0000       45863.       833.76    
      5788800.   0.46636E-01   1.0000       45412.       842.05    
      5875200.   0.46579E-01   1.0000       45356.       843.08    
      5961600.   0.46256E-01   1.0000       45041.       848.98    
      6048000.   0.45503E-01   1.0000       44308.       863.02    
      6134400.   0.44644E-01   1.0000       43471.       879.63    
      6220800.   0.43791E-01   1.0000       42642.       896.75    
      6307200.   0.42982E-01   1.0000       41854.       913.63    
      6393600.   0.42227E-01   1.0000       41118.       929.97    
      6480000.   0.41521E-01   1.0000       40431.       945.79    
      6566400.   0.40852E-01   1.0000       39779.       961.28    
      6652800.   0.40215E-01   1.0000       39160.       976.49    
      6739200.   0.39621E-01   1.0000       38581.       991.14    
      6825600.   0.39038E-01   1.0000       38013.       1005.9    
      6912000.   0.38469E-01   1.0000       37459.       1020.8    
      6998400.   0.37927E-01   1.0000       36931.       1035.4    
      7084800.   0.37423E-01   1.0000       36440.       1049.4    
      7171200.   0.36948E-01   1.0000       35978.       1062.9    
      7257600.   0.36490E-01   1.0000       35532.       1076.2    
      7344000.   0.36060E-01   1.0000       35114.       1089.0    
      7430400.   0.35714E-01   1.0000       34777.       1099.6    
      7516800.   0.35360E-01   1.0000       34432.       1110.6    
      7603200.   0.34972E-01   1.0000       34054.       1122.9    
      7689600.   0.34605E-01   1.0000       33697.       1134.8    
      7776000.   0.34293E-01   1.0000       33393.       1145.1    
      7862400.   0.33957E-01   1.0000       33065.       1156.5    
      7948800.   0.33637E-01   1.0000       32754.       1167.4    
      8035200.   0.33333E-01   1.0000       32457.       1178.1    
      8121600.   0.33040E-01   1.0000       32172.       1188.6    
      8208000.   0.32757E-01   1.0000       31897.       1198.8    
      8294400.   0.32484E-01   1.0000       31631.       1208.9    
      8380800.   0.35858E-01   1.0000       34916.       1095.2    
      8467200.   0.35868E-01   1.0000       34926.       1094.8    
      8553600.   0.35761E-01   1.0000       34822.       1098.1    
      8640000.   0.35448E-01   1.0000       34517.       1107.8    
      8726400.   0.35081E-01   1.0000       34160.       1119.4    
      8812800.   0.34710E-01   1.0000       33799.       1131.4    
      8899200.   0.34255E-01   1.0000       33356.       1146.4    
      8985600.   0.34281E-01   1.0000       33381.       1145.5    
      9072000.   0.34972E-01   1.0000       34054.       1122.9    
      9158400.   0.34753E-01   1.0000       33841.       1130.0    
      9244800.   0.36629E-01   1.0000       35668.       1072.1    
      9331200.   0.40757E-01   1.0000       39687.       963.52    
      9417600.   0.49849E-01   1.0000       48540.       787.78    
      9504000.   0.54769E-01   1.0000       53332.       717.00    
      9590400.   0.51415E-01   1.0000       50065.       763.78    
      9676800.   0.48667E-01   1.0000       47390.       806.91    
      9763200.   0.46446E-01   1.0000       45226.       845.50    
      9849600.   0.44682E-01   1.0000       43509.       878.87    
      9936000.   0.45850E-01   1.0000       44647.       856.48    
     10022400.   0.46547E-01   1.0000       45325.       843.66    
     10108800.   0.46501E-01   1.0000       45281.       844.49    
     10195200.   0.46927E-01   1.0000       45695.       836.83    
     10281600.   0.46980E-01   1.0000       45747.       835.88    
     10368000.   0.45993E-01   1.0000       44785.       853.83    
     10454400.   0.44798E-01   1.0000       43621.       876.61    
     10540800.   0.44813E-01   1.0000       43636.       876.32    
     10627200.   0.45305E-01   1.0000       44115.       866.80    
     10713600.   0.45237E-01   1.0000       44049.       868.10    
     10800000.   0.44608E-01   1.0000       43437.       880.33    
     10886400.   0.43725E-01   1.0000       42577.       898.11    
     10972800.   0.42772E-01   1.0000       41649.       918.13    
     11059200.   0.41738E-01   1.0000       40642.       940.88    
     11145600.   0.40785E-01   1.0000       39714.       962.85    
     11232000.   0.39942E-01   1.0000       38893.       983.18    
     11318400.   0.39183E-01   1.0000       38154.       1002.2    
     11404800.   0.39909E-01   1.0000       38861.       983.99    
     11491200.   0.39068E-01   1.0000       38042.       1005.2    
     11577600.   0.40960E-01   1.0000       39884.       958.75    
     11664000.   0.45127E-01   1.0000       43942.       870.22    
     11750400.   0.53942E-01   1.0000       52526.       728.00    
     11836800.   0.50386E-01   1.0000       49063.       779.39    
     11923200.   0.47851E-01   1.0000       46595.       820.67    
     12009600.   0.46015E-01   1.0000       44807.       853.42    
     12096000.   0.45669E-01   1.0000       44470.       859.88    
     12182400.   0.45196E-01   1.0000       44010.       868.87    
     12268800.   0.44397E-01   1.0000       43232.       884.51    
     12355200.   0.43463E-01   1.0000       42322.       903.53    
     12441600.   0.42925E-01   1.0000       41798.       914.85    
     12528000.   0.45781E-01   1.0000       44579.       857.78    
     12614400.   0.48414E-01   1.0000       47143.       811.13    
     12700800.   0.47310E-01   1.0000       46068.       830.06    
     12787200.   0.46100E-01   1.0000       44890.       851.84    
     12873600.   0.44854E-01   1.0000       43676.       875.51    
     12960000.   0.45255E-01   1.0000       44067.       867.74    
     13046400.   0.44741E-01   1.0000       43566.       877.72    
     13132800.   0.44020E-01   1.0000       42864.       892.10    
     13219200.   0.43618E-01   1.0000       42473.       900.32    
     13305600.   0.42974E-01   1.0000       41846.       913.80    
     13392000.   0.44433E-01   1.0000       43267.       883.80    
     13478400.   0.45277E-01   1.0000       44089.       867.32    
     13564800.   0.44827E-01   1.0000       43650.       876.03    
     13651200.   0.44204E-01   1.0000       43044.       888.37    
     13737600.   0.43467E-01   1.0000       42326.       903.44    
     13824000.   0.46149E-01   1.0000       44938.       850.93    
     13910400.   0.49369E-01   1.0000       48073.       795.43    
     13996800.   0.48534E-01   1.0000       47260.       809.12    
     14083200.   0.47259E-01   1.0000       46018.       830.95    
     14169600.   0.47915E-01   1.0000       46657.       819.57    
     14256000.   0.48350E-01   1.0000       47080.       812.20    
     14342400.   0.51391E-01   1.0000       50042.       764.14    
     14428800.   0.58896E-01   1.0000       57349.       666.77    
     14515200.   0.57049E-01   1.0000       55552.       688.35    
     14601600.   0.57221E-01   1.0000       55719.       686.28    
     14688000.   0.59014E-01   1.0000       57465.       665.43    
     14774400.   0.58974E-01   1.0000       57425.       665.89    
     14860800.   0.57620E-01   1.0000       56108.       681.53    
     14947200.   0.56384E-01   1.0000       54904.       696.47    
     15033600.   0.54952E-01   1.0000       53509.       714.62    
     15120000.   0.53525E-01   1.0000       52120.       733.67    
     15206400.   0.52059E-01   1.0000       50692.       754.34    
     15292800.   0.50624E-01   1.0000       49295.       775.72    
     15379200.   0.53086E-01   1.0000       51692.       739.75    
     15465600.   0.53921E-01   1.0000       52505.       728.29    
     15552000.   0.52856E-01   1.0000       51468.       742.96    
     15638400.   0.51340E-01   1.0000       49992.       764.90    
     15724800.   0.49964E-01   1.0000       48652.       785.97    
     15811200.   0.48744E-01   1.0000       47464.       805.64    
     15897600.   0.47677E-01   1.0000       46426.       823.66    
     15984000.   0.47095E-01   1.0000       45859.       833.85    
     16070400.   0.46180E-01   1.0000       44968.       850.36    
     16156800.   0.45339E-01   1.0000       44149.       866.13    
     16243200.   0.44540E-01   1.0000       43371.       881.67    
     16329600.   0.43801E-01   1.0000       42651.       896.56    
     16416000.   0.43108E-01   1.0000       41976.       910.97    
     16502400.   0.42458E-01   1.0000       41343.       924.91    
     16588800.   0.41849E-01   1.0000       40750.       938.37    
     16675200.   0.41277E-01   1.0000       40193.       951.38    
     16761600.   0.40955E-01   1.0000       39880.       958.85    
     16848000.   0.40799E-01   1.0000       39728.       962.51    
     16934400.   0.41372E-01   1.0000       40286.       949.18    
     17020800.   0.41370E-01   1.0000       40284.       949.24    
     17107200.   0.40643E-01   1.0000       39576.       966.22    
     17193600.   0.40055E-01   1.0000       39003.       980.40    
     17280000.   0.39498E-01   1.0000       38461.       994.23    
     17366400.   0.38975E-01   1.0000       37952.       1007.6    
     17452800.   0.38493E-01   1.0000       37482.       1020.2    
     17539200.   0.38043E-01   1.0000       37045.       1032.2    
     17625600.   0.37623E-01   1.0000       36635.       1043.8    
     17712000.   0.37563E-01   1.0000       36577.       1045.4    
     17798400.   0.37154E-01   1.0000       36178.       1057.0    
     17884800.   0.36736E-01   1.0000       35772.       1069.0    
     17971200.   0.36359E-01   1.0000       35405.       1080.0    
     18057600.   0.36008E-01   1.0000       35063.       1090.6    
     18144000.   0.35676E-01   1.0000       34739.       1100.7    
     18230400.   0.35358E-01   1.0000       34430.       1110.6    
     18316800.   0.35053E-01   1.0000       34133.       1120.3    
     18403200.   0.34759E-01   1.0000       33847.       1129.8    
     18489600.   0.34475E-01   1.0000       33570.       1139.1    
     18576000.   0.34201E-01   1.0000       33303.       1148.2    
     18662400.   0.33935E-01   1.0000       33044.       1157.2    
     18748800.   0.33677E-01   1.0000       32793.       1166.1    
     18835200.   0.34137E-01   1.0000       33241.       1150.4    
     18921600.   0.33865E-01   1.0000       32976.       1159.6    
     19008000.   0.33473E-01   1.0000       32594.       1173.2    
