   TOTIM (T)     FLOWRATE     DIAM.         RE           RT
        86400.   0.11486E-01  0.62713       17834.       672.34    
       103680.   0.10844E-01  0.62713       16837.       712.13    
       120960.   0.10660E-01  0.62713       16551.       724.43    
       138240.   0.10489E-01  0.62713       16286.       736.23    
       155520.   0.10322E-01  0.62713       16027.       748.15    
       172800.   0.10158E-01  0.62713       15773.       760.18    
       190080.   0.10068E-01  0.62713       15632.       767.04    
       207360.   0.99715E-02  0.62713       15483.       774.43    
       224640.   0.98768E-02  0.62713       15336.       781.85    
       241920.   0.97839E-02  0.62713       15192.       789.28    
       259200.   0.96927E-02  0.62713       15050.       796.71    
       276480.   0.96218E-02  0.62713       14940.       802.57    
       293760.   0.95503E-02  0.62713       14829.       808.59    
       311040.   0.94799E-02  0.62713       14719.       814.59    
       328320.   0.94106E-02  0.62713       14612.       820.59    
       345600.   0.93426E-02  0.62713       14506.       826.56    
       362880.   0.93632E-02  0.62713       14538.       824.74    
       380160.   0.93740E-02  0.62713       14555.       823.79    
       397440.   0.93839E-02  0.62713       14571.       822.92    
       414720.   0.93934E-02  0.62713       14585.       822.09    
       432000.   0.94026E-02  0.62713       14599.       821.29    
       449280.   0.94779E-02  0.62713       14716.       814.76    
       466560.   0.95447E-02  0.62713       14820.       809.06    
       483840.   0.96098E-02  0.62713       14921.       803.58    
       501120.   0.96735E-02  0.62713       15020.       798.29    
       518400.   0.97360E-02  0.62713       15117.       793.17    
       535680.   0.97458E-02  0.62713       15132.       792.37    
       552960.   0.97608E-02  0.62713       15156.       791.15    
       570240.   0.97759E-02  0.62713       15179.       789.92    
       587520.   0.97909E-02  0.62713       15202.       788.72    
       604800.   0.98057E-02  0.62713       15225.       787.53    
       622080.   0.98385E-02  0.62713       15276.       784.90    
       639360.   0.98688E-02  0.62713       15323.       782.49    
       656640.   0.98986E-02  0.62713       15370.       780.14    
       673920.   0.99277E-02  0.62713       15415.       777.84    
       691200.   0.99564E-02  0.62713       15459.       775.61    
       708480.   0.10163E-01  0.62713       15781.       759.81    
       725760.   0.10348E-01  0.62713       16067.       746.27    
       743040.   0.10528E-01  0.62713       16347.       733.50    
       760320.   0.10705E-01  0.62713       16621.       721.40    
       777600.   0.10878E-01  0.62713       16890.       709.90    
       794880.   0.11208E-01  0.62713       17402.       689.01    
       812160.   0.11515E-01  0.62713       17880.       670.62    
       829440.   0.11816E-01  0.62713       18347.       653.52    
       846720.   0.12112E-01  0.62713       18807.       637.55    
       864000.   0.12403E-01  0.62713       19258.       622.61    
       881280.   0.12548E-01  0.62713       19483.       615.41    
       898560.   0.12705E-01  0.62713       19727.       607.82    
       915840.   0.12860E-01  0.62713       19968.       600.48    
       933120.   0.13013E-01  0.62713       20206.       593.42    
       950400.   0.13164E-01  0.62713       20440.       586.62    
       967680.   0.13499E-01  0.62713       20960.       572.06    
       984960.   0.13810E-01  0.62713       21443.       559.17    
      1002240.   0.14115E-01  0.62713       21917.       547.09    
      1019520.   0.14415E-01  0.62713       22382.       535.72    
      1036800.   0.14709E-01  0.62713       22839.       524.99    
      1054080.   0.15267E-01  0.62713       23705.       505.81    
