dtidx;T;P;
01.01.2016 00:00;5.6;0;
01.01.2016 01:00;5.4;0;
01.01.2016 02:00;5.3;0;
01.01.2016 03:00;4.9;0;
01.01.2016 04:00;4;0;
01.01.2016 05:00;3.8;0;
01.01.2016 06:00;3.4;0;
01.01.2016 07:00;2;0;
01.01.2016 08:00;0.9;0;
01.01.2016 09:00;3.3;0;
01.01.2016 10:00;5.3;0;
01.01.2016 11:00;6.4;0;
01.01.2016 12:00;6.7;0;
01.01.2016 13:00;6.7;0;
01.01.2016 14:00;6;0;
01.01.2016 15:00;4.5;0;
01.01.2016 16:00;3.8;0;
01.01.2016 17:00;3.2;0;
01.01.2016 18:00;2.8;0;
01.01.2016 19:00;2.5;0;
01.01.2016 20:00;2.1;0;
01.01.2016 21:00;1.9;0;
01.01.2016 22:00;1.9;0;
01.01.2016 23:00;1.2;0;
02.01.2016 00:00;1.8;0;
02.01.2016 01:00;2.3;0;
02.01.2016 02:00;2.4;0;
02.01.2016 03:00;2.8;0.1;
02.01.2016 04:00;3.1;0;
02.01.2016 05:00;3.5;0.5;
02.01.2016 06:00;4.3;0.6;
02.01.2016 07:00;5.8;0.5;
02.01.2016 08:00;6.5;0.7;
02.01.2016 09:00;7;0.9;
02.01.2016 10:00;5.4;0.8;
02.01.2016 11:00;4.1;1.6;
02.01.2016 12:00;5.1;1.2;
02.01.2016 13:00;4.9;0.8;
02.01.2016 14:00;4.8;0;
02.01.2016 15:00;4.9;0;
02.01.2016 16:00;4.9;0;
02.01.2016 17:00;5;0;
02.01.2016 18:00;5.1;0;
02.01.2016 19:00;5;0;
02.01.2016 20:00;5;0;
02.01.2016 21:00;5;0;
02.01.2016 22:00;4.8;0;
02.01.2016 23:00;4.7;0;
03.01.2016 00:00;4.8;0;
03.01.2016 01:00;4.5;0;
03.01.2016 02:00;4.4;0;
03.01.2016 03:00;4.1;0.1;
03.01.2016 04:00;3.5;0.2;
03.01.2016 05:00;3.1;0;
03.01.2016 06:00;2.4;0;
03.01.2016 07:00;1.9;0;
03.01.2016 08:00;2.3;0;
03.01.2016 09:00;3.6;0;
03.01.2016 10:00;4.5;0;
03.01.2016 11:00;4.9;0;
03.01.2016 12:00;5;0;
03.01.2016 13:00;5.3;0;
03.01.2016 14:00;5.1;0;
03.01.2016 15:00;4.4;0;
03.01.2016 16:00;3.8;0;
03.01.2016 17:00;4;0;
03.01.2016 18:00;4.1;0;
03.01.2016 19:00;4.7;0;
03.01.2016 20:00;3.7;0.6;
03.01.2016 21:00;3.3;0.9;
03.01.2016 22:00;3.5;2.3;
03.01.2016 23:00;3.8;1.2;
04.01.2016 00:00;3.9;0.4;
04.01.2016 01:00;4.5;0.3;
04.01.2016 02:00;4.4;0.2;
04.01.2016 03:00;4.9;0.2;
04.01.2016 04:00;5;0;
04.01.2016 05:00;4.6;1.1;
04.01.2016 06:00;3.8;3.7;
04.01.2016 07:00;3.4;0.1;
04.01.2016 08:00;2.9;0.9;
04.01.2016 09:00;3;2.1;
